"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"69","114.65805348764843","61.79066337465705","0.01611328125","0.0244140625","0.0078125","1560","0.0002631168317510783","0.0002631168317510783","0","0.0002631168317510783","0.0002631168317510783","69_78:0.003563923462617802;69_68:0.004243581573611488;69_70:0.004925458506574554","69_78:0.002515362431714435;69_68:1;69_70:1","69_78:84;69_68:84;69_70:84","true"
"70","103.22442810599195","105.06740136765872","0.00537109375","0.009765625","0.0009765625","1560","0.00019313709626822976","0.00019313709626822976","0","0.00019313709626822976","0.00019313709626822976","70_69:0.004925458506574554;70_71:0.0039402772063639735","70_69:1;70_71:0.004590938509449333","70_69:84;70_71:84","true"
"71","114.45765848798415","83.80925903462072","0.013916015625","0.01708984375","0.0107421875","1560","0.00017010074238198668","0.00017010074238198668","0","0.00017010074238198668","0.00017010074238198668","71_72:0.006189088287804623;71_58:0.0028095496423548028;71_70:0.0039402772063639735","71_72:0.019241478503745052;71_58:0.0034983663044767244;71_70:0.004590938509449333","71_72:84;71_58:84;71_70:84","true"
"72","107.35940013747133","112.08101720758519","0.00634765625","0.0107421875","0.001953125","1560","0.00023818064817846842","0.00023818064817846842","0","0.00023818064817846842","0.00023818064817846842","72_73:0.017202319494516727;72_71:0.006189088287804623","72_73:1;72_71:0.019241478503745052","72_73:84;72_71:84","true"
"73","66.07908218769981","68.5497262092216","0.01025390625","0.0146484375","0.005859375","1560","0.000255237849966071","0.000255237849966071","0","0.000255237849966071","0.000255237849966071","73_72:0.017202319494516727;73_74:0.00333061537011875;73_79:0.0037381092045533637","73_72:1;73_74:0.0033546308191600427;73_79:1","73_72:84;73_74:84;73_79:84","true"
"74","163.5867003612602","126.99941021598592","0.00927734375","0.0126953125","0.005859375","1560","0.0003285880987125135","0.0003285880987125135","0","0.0003285880987125135","0.0003285880987125135","74_73:0.00333061537011875;74_75:0.004240925653460292","74_73:0.0033546308191600427;74_75:0.004125184018234168","74_73:84;74_75:84","true"
"75","148.82124068747325","151.5647230399116","0.00537109375","0.00927734375","0.00146484375","1560","0.0005155959002754378","0.0005155959002754378","0","0.0005155959002754378","0.0005155959002754378","75_59:0.007946665866154556;75_74:0.004240925653460292","75_59:0.004965248435877728;75_74:0.004125184018234168","75_59:84;75_74:84","true"
"76","181.88119933845354","83.04787700454874","0.018310546875","0.0234375","0.01318359375","1560","0.00020725675027934837","0.00020725675027934837","0","0.00020725675027934837","0.00020725675027934837","76_81:0.003915905058439972;76_61:0.0034753423519010007","76_81:0.0026706702933667337;76_61:0.0028756442538978855","76_81:84;76_61:84","true"
"77","202.72136619416753","66.74068583773082","0.008056640625","0.01025390625","0.005859375","1560","0.00032645632935577603","0.00032645632935577603","0","0.00032645632935577603","0.00032645632935577603","77_85:0.0032472961596708427;77_65:0.004279608535881052","77_85:0.0032558248186333183;77_65:0.004242865611655988","77_85:84;77_65:84","true"
"78","101.45954393337868","90.21953017131426","0.021728515625","0.02294921875","0.0205078125","1560","0.0002745561155025284","0.0002745561155025284","0","0.0002745561155025284","0.0002745561155025284","78_69:0.003563923462617802;78_89:0.004730305115914657","78_69:0.002515362431714435;78_89:0.005328530492248157","78_69:84;78_89:84","true"
"79","109.42874412597327","47.631785019180384","0.006591796875","0.00927734375","0.00390625","1560","0.0002754684083690029","0.0002754684083690029","0","0.0002754684083690029","0.0002754684083690029","79_93:0.004360777096759416;79_73:0.0037381092045533637","79_93:0.005102455483735557;79_73:1","79_93:84;79_73:84","true"
"80","150.29079718202763","125.22417584064378","0.0048828125","0.00732421875","0.00244140625","1560","0.00018290898544536354","0.00018290898544536354","0","0.00018290898544536354","0.00018290898544536354","80_81:0.004134207342056551","80_81:1","80_81:84","true"
"81","163.9569215540434","21.456453925702608","0.009765625","0.015625","0.00390625","1560","0.0001776288729684393","0.0001776288729684393","0","0.0001776288729684393","0.0001776288729684393","81_80:0.004134207342056551;81_82:0.007606995159610164;81_76:0.003915905058439972","81_80:1;81_82:1;81_76:0.0026706702933667337","81_80:84;81_82:84;81_76:84","true"
